unix,low,high,open,close,volume,date,vol_fiat
1655424000,0.05454,0.05806,0.05518,0.05683,362982618.3,2022-06-17,20628302.197989002
1655510400,0.04908,0.05783,0.05683,0.05282,601671131.6,2022-06-18,31780269.171112
1655596800,0.05108,0.0629,0.05283,0.0604,791478594.4,2022-06-19,47805307.10176
1655683200,0.05736,0.06145,0.0604,0.05994,382670463.9,2022-06-20,22937267.606165998
1655769600,0.05891,0.06988,0.05994,0.06572,746047884.2,2022-06-21,49030266.949624
1655856000,0.061,0.06579,0.06578,0.06162,546145021.1,2022-06-22,33653456.200182006
1655942400,0.0615,0.0647,0.06163,0.06396,317428670.3,2022-06-23,20302737.752388
1656028800,0.06388,0.06853,0.06395,0.0669,316480056.4,2022-06-24,21172515.77316
1656115200,0.06504,0.06932,0.06687,0.0685,274996305.1,2022-06-25,18837246.899350002
1656201600,0.06712,0.07776,0.06849,0.07295,648353981.3,2022-06-26,47297422.935835
1656288000,0.07047,0.07876,0.07294,0.07206,645926332.5,2022-06-27,46545451.51995
1656374400,0.0653,0.07328,0.07208,0.06602,322578673.0,2022-06-28,21296643.99146
1656460800,0.06402,0.07168,0.06599,0.06939,394321431.1,2022-06-29,27361964.104029
1656547200,0.06221,0.06964,0.0695,0.0664,415931718.1,2022-06-30,27617866.08184
1656633600,0.06377,0.06876,0.0664,0.06641,305531094.4,2022-07-01,20290319.979103997
1656720000,0.0654,0.06793,0.06641,0.06658,181748466.7,2022-07-02,12100812.912886
1656806400,0.06474,0.06745,0.06657,0.06711,154264646.0,2022-07-03,10352700.39306
1656892800,0.06559,0.06973,0.06711,0.0693,175010053.7,2022-07-04,12128196.721409999
1656979200,0.0654,0.06995,0.06929,0.06709,168749672.7,2022-07-05,11321415.541442998
1657065600,0.06609,0.0692,0.06708,0.06833,198287996.3,2022-07-06,13549018.787179
1657152000,0.06782,0.07119,0.06833,0.07051,172371492.2,2022-07-07,12153913.915021999
1657238400,0.06819,0.07349,0.07052,0.06907,251004930.1,2022-07-08,17336910.522007
1657324800,0.06879,0.07014,0.06901,0.06944,89831413.3,2022-07-09,6237893.339552
1657411200,0.06619,0.06947,0.06945,0.06725,138611472.2,2022-07-10,9321621.50545
1657497600,0.06112,0.06725,0.06725,0.0617,229084806.9,2022-07-11,14134532.58573
1657584000,0.05966,0.06304,0.06172,0.05977,147920233.0,2022-07-12,8841192.32641
1657670400,0.05745,0.0623,0.05972,0.0619,305908100.6,2022-07-13,18935711.42714
1657756800,0.05944,0.06278,0.06191,0.06243,189491374.0,2022-07-14,11829946.47882
1657843200,0.06157,0.06439,0.06245,0.06293,221068449.1,2022-07-15,13911837.501862999
1657929600,0.06171,0.06481,0.06291,0.06435,180211482.7,2022-07-16,11596608.911745
1658016000,0.06286,0.06549,0.06437,0.06306,156436628.2,2022-07-17,9864893.774292
1658102400,0.06297,0.06895,0.06306,0.06757,343792332.1,2022-07-18,23230047.879997004
1658188800,0.06538,0.0703,0.06755,0.06902,303253635.6,2022-07-19,20930565.929112002
1658275200,0.06767,0.07699,0.06903,0.07015,610755585.2,2022-07-20,42844504.30178001
1658361600,0.06692,0.07094,0.07014,0.06999,205926981.7,2022-07-21,14412829.449182998
1658448000,0.06671,0.07144,0.06996,0.06745,174999993.0,2022-07-22,11803749.52785
1658534400,0.06596,0.06952,0.06744,0.06803,124087260.5,2022-07-23,8441656.331814999
1658620800,0.06723,0.06895,0.06804,0.06754,114551590.8,2022-07-24,7736814.442632
1658707200,0.06176,0.06803,0.06754,0.06196,194729162.9,2022-07-25,12065418.933284001
1658793600,0.06008,0.06271,0.06193,0.06255,161645421.0,2022-07-26,10110921.083549999
1658880000,0.06178,0.06726,0.06255,0.06726,223383955.5,2022-07-27,15024804.84693
1658966400,0.06517,0.07088,0.06724,0.06909,414286494.9,2022-07-28,28623053.932641
1659052800,0.0669,0.07249,0.06911,0.06881,396291737.2,2022-07-29,27268834.436731998
1659139200,0.06792,0.0746,0.06881,0.06966,392219623.7,2022-07-30,27322018.986942
1659225600,0.06782,0.07226,0.0697,0.06808,231652380.2,2022-07-31,15770894.044016
